"Parameter","Condition","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","SD","N"
"Max length","CTRL",1.813,2.839,5.467,6.41601694915254,8.204,18.582,4.420450029717,59
"Max length","ENA",1.821,3.039,5.302,6.31905050505051,9.156,21.357,4.13570950992504,99
"Straightness","CTRL",0.73048499939224,0.899202540027691,0.904889487385556,0.908636420500798,0.934423708840046,0.96432418577046,0.0412708507247082,30
"Straightness","ENA",0.764877157289944,0.898500209746411,0.909800625676437,0.902764017167927,0.922445379164304,0.961979186211422,0.0396645968004123,52
"Tip extension rate","CTRL",0.035,0.051425,0.067,0.0742053191489362,0.090775,0.1538,0.0275748432808085,47
"Tip extension rate","ENA",0.0353,0.0534375,0.069625,0.073300641025641,0.0884,0.1548,0.0257846721477231,78
"Tip retraction rate","CTRL",0.0362,0.042325,0.0468,0.0560722222222222,0.0673,0.1216,0.0208523579801742,27
"Tip retraction rate","ENA",0.0333,0.0465,0.0644,0.0712287234042553,0.086225,0.1622,0.0319880323148885,47
"Base invasion rate","CTRL",0.0327,0.0455,0.0571,0.0629539320731707,0.076369625,0.13275,0.0236249920772259,41
"Base invasion rate","ENA",0.0359,0.0488125,0.064475,0.07224765625,0.087825,0.1478,0.028999371133969,64
"Base retraction rate","CTRL",0.0353,0.04675,0.05685,0.0591136363636364,0.0657125,0.12385,0.0168961064857061,44
"Base retraction rate","ENA",0.0335,0.04895,0.0599,0.0655965753424658,0.0777,0.1345,0.0221029854833119,73
"Time tip extending","CTRL",0,0.252541850672692,0.384615384615385,0.495871529126623,0.881313131313131,1,0.363219251519497,55
"Time tip extending","ENA",0,0.211206896551724,0.5,0.484973315720351,0.714285714285714,1,0.328354732546214,88
"Time tip retracting","CTRL",0,0,0,0.105696330578462,0.163272861902999,0.8,0.163029531365814,55
"Time tip retracting","ENA",0,0,0.0155048076923077,0.0969915394235774,0.154044117647059,0.692307692307692,0.139507804826156,88
"Time tip stalling","CTRL",0,0.0555555555555556,0.4,0.398432140294915,0.596485411140584,1,0.330588579760768,55
"Time tip stalling","ENA",0,0.209978070175439,0.358571428571429,0.418035144856071,0.666666666666667,1,0.296468846695925,88
"Time base invading","CTRL",0,0.00431034482758621,0.156862745098039,0.203348056723573,0.305327066196631,1,0.213776780488899,55
"Time base invading","ENA",0,0,0.133484162895928,0.20090695490177,0.299082313681869,1,0.237705214457595,90
"Time base retracting","CTRL",0,0.075,0.189189189189189,0.270921017197028,0.350203977562468,1,0.283495174434891,55
"Time base retracting","ENA",0,0.101293103448276,0.258520563594821,0.327076250482712,0.457207207207207,1,0.291872575338985,90
"Time base stalling","CTRL",0,0.386378682555445,0.533333333333333,0.525730926079399,0.675925925925926,1,0.281566269237269,55
"Time base stalling","ENA",0,0.277678571428571,0.4,0.472016794615518,0.708791208791209,1,0.298082619639812,90
"Tip persistence","CTRL",4,8,12,18.7924528301887,22,82,18.0739490497384,53
"Tip persistence","ENA",4,10,12,18.5176470588235,22,74,14.7653163131147,85
